Configs,Strategy Sharpe,E.W. Sharpe,Outperformance
SP500_2_vw_mu_0.5_21,0.10952621317645872,-0.4687164107951209,0.5782426239715797
SP500_3_vw_mu_0.5_63,-0.4086616341507771,-0.4687164107951209,0.06005477664434378
SP500_3_vw_rsi_2_252,0.5272917629641569,-0.46871641079512166,0.9960081737592785
SP500_3_vw_rsi_2_63,-0.24493901999400738,-0.46871641079512166,0.22377739080111428
SP500_4_vw_mu_4_63,-0.4065239304177723,-0.46871641079512416,0.062192480377351866
SP500_4_vw_rsi_3_63,-0.3933133069528853,-0.4687164107951213,0.07540310384223597
SP500_4_vw_rsi_4_252,-0.14641130985013498,-0.46871641079512416,0.3223051009449892
SP500_4_vw_rsi_4_63,-0.2906241726870728,-0.46871641079512416,0.17809223810805136
