Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
1997,2.581016462474028,2.3734272639767147,3.852142518610034,3.637032577618281
1998,0.682345236873919,1.3082206176976818,0.5556364560117832,1.1975810552677437
1999,2.6529741208315554,1.5520864723304117,4.577043981883351,2.048643802387709
2000,1.4352017441409988,1.835405573020405,2.916693770533594,4.298642712013251
2001,0.8552429093394048,0.6729731978519018,1.0356267098509049,0.6652185504996199
2002,0.41453285974065135,-0.32627469578457696,0.33684121248066556,-0.2850871023968337
2003,3.193719269550586,2.320845839751739,3.2375080291276945,3.046812407154031
2004,3.0530545480915805,1.88077654062329,4.547436738981351,3.109196984718053
2005,3.1076168922038065,1.4821461917146195,5.467282907894575,2.337828247505488
2006,0.6294695713013491,1.4998700627795964,0.9750630137052108,2.070595516531984
2007,1.157416219692191,0.525518395893887,1.584529101450099,0.9334070347967566
2008,-0.8003173265522404,-0.6342616384901639,-0.7052528254870076,-0.6000502275545933
2009,0.5510923628180726,1.2284897380646387,0.712244266528843,1.3362413137584335
2010,0.7944924321477327,1.1255635523936718,0.9009361479589744,1.4770390313493467
2011,1.0925371046724557,0.25247295286884797,1.8842272335651333,0.3172346957709688
2012,0.9883584824002664,1.4024302935787685,1.1014494843715776,2.196923642517363
2013,1.7320237451729676,3.076829508577215,2.356153013006614,5.974681287675948
2014,1.87750108597022,1.8680540340675926,3.592224436941583,3.0547527800710697
2015,0.37505915568465575,0.16471818330746293,0.5947463402854188,0.2224703074757839
2016,-0.46744866343540714,1.5686625746438465,-0.5229980030997977,2.468068567522579
2017,1.6819099681544136,3.512734787261009,3.044024912671647,9.255665460243593
2018,-0.03274858827470811,-0.24225433740356145,-0.02926272245780299,-0.2053134324617423
2019,3.1886541176355445,2.9394812416114036,6.668484597122172,6.3871924235046595
2020,0.341933927435745,0.4292493874941973,0.3644518778434812,0.4267976647119515
2021,1.547721905307521,2.7030425268067515,1.8318377667835346,7.07743359602504
2022,-0.09664904632614965,-0.14534074973063332,-0.1739375247953521,-0.310312032071184
