Configs,Strategy Calmar,E.W. Calmar,Outperformance
SP500_2_vw_mu_0.5_21,1.0586117999875302,-0.034479101698166446,1.0930909016856967
SP500_2_vw_mu_0.5_63,0.48561610986616177,-0.034479101698166446,0.5200952115643283
SP500_2_vw_mu_1_21,0.6754403999995132,-0.03447910169816555,0.7099195016976788
SP500_2_vw_mu_1_252,0.18381840031416044,-0.03447910169816555,0.218297502012326
SP500_2_vw_mu_1_63,0.01533360876318382,-0.03447910169816555,0.04981271046134937
SP500_2_vw_mu_2_21,-0.0034621994896081995,-0.03447910169816347,0.03101690220855527
SP500_2_vw_mu_2_252,0.013996391080870075,-0.03447910169816347,0.04847549277903354
SP500_2_vw_mu_3_21,0.0673322718767022,-0.03447910169816556,0.10181137357486775
SP500_2_vw_mu_3_252,0.19338002702609097,-0.03447910169816556,0.22785912872425654
SP500_2_vw_mu_3_63,0.19772344465926378,-0.03447910169816556,0.23220254635742935
SP500_2_vw_mu_4_21,0.162041507809652,-0.034479101698167966,0.19652060950781997
SP500_2_vw_mu_4_252,0.02018000494068914,-0.034479101698167966,0.054659106638857105
SP500_2_vw_mu_4_63,0.07920341823342218,-0.034479101698167966,0.11368251993159015
SP500_2_vw_rsi_0.5_21,0.9616926176890629,-0.034479101698166446,0.9961717193872294
SP500_2_vw_rsi_0.5_63,0.7996879528790355,-0.034479101698166446,0.834167054577202
SP500_2_vw_rsi_1_21,0.18264592042765507,-0.03447910169816555,0.21712502212582063
SP500_2_vw_rsi_1_252,0.021758063798324945,-0.03447910169816555,0.05623716549649049
SP500_2_vw_rsi_2_252,0.048768970552096794,-0.03447910169816347,0.08324807225026026
SP500_2_vw_rsi_3_252,0.08527360189815186,-0.03447910169816556,0.11975270359631743
SP500_2_vw_rsi_3_63,0.06614984208855544,-0.03447910169816556,0.10062894378672099
SP500_2_vw_rsi_4_252,0.050349825665014385,-0.034479101698167966,0.08482892736318234
SP500_2_vw_rsi_4_63,0.06866026721249342,-0.034479101698167966,0.10313936891066139
SP500_3_vw_mu_0.5_21,0.416492906362187,-0.034479101698166446,0.4509720080603534
SP500_3_vw_mu_0.5_63,0.22818659629141105,-0.034479101698166446,0.2626656979895775
SP500_3_vw_mu_1_21,0.28533818776643144,-0.03447910169816555,0.319817289464597
SP500_3_vw_mu_1_252,0.06624411597787608,-0.03447910169816555,0.10072321767604163
SP500_3_vw_mu_2_21,-0.026844220461277466,-0.03447910169816347,0.0076348812368860035
SP500_3_vw_mu_2_252,0.11746311507235381,-0.03447910169816347,0.15194221677051728
SP500_3_vw_mu_2_63,0.004440419622427972,-0.03447910169816347,0.03891952132059144
SP500_3_vw_mu_3_21,0.2392596269712364,-0.03447910169816556,0.27373872866940197
SP500_3_vw_mu_3_252,0.30027277042134315,-0.03447910169816556,0.3347518721195087
SP500_3_vw_mu_3_63,0.5067149051079453,-0.03447910169816556,0.5411940068061108
SP500_3_vw_mu_4_21,-0.02325872534854821,-0.034479101698167966,0.011220376349619757
SP500_3_vw_mu_4_252,0.023794680735261718,-0.034479101698167966,0.058273782433429684
SP500_3_vw_mu_4_63,0.05370280670364116,-0.034479101698167966,0.08818190840180912
SP500_3_vw_rsi_0.5_21,0.7729009274497715,-0.034479101698166446,0.8073800291479379
SP500_3_vw_rsi_0.5_63,0.2405082974279011,-0.034479101698166446,0.27498739912606757
SP500_3_vw_rsi_1_21,0.02030568350392967,-0.03447910169816555,0.05478478520209522
SP500_3_vw_rsi_1_252,0.07965043597500314,-0.03447910169816555,0.11412953767316869
SP500_3_vw_rsi_1_63,-0.02628823249570798,-0.03447910169816555,0.008190869202457571
SP500_3_vw_rsi_2_252,0.1629731652485843,-0.03447910169816347,0.19745226694674778
SP500_3_vw_rsi_3_252,0.06584804919705584,-0.03447910169816556,0.1003271508952214
SP500_3_vw_rsi_3_63,0.23675889253891402,-0.03447910169816556,0.27123799423707956
SP500_3_vw_rsi_4_21,0.3235966081729748,-0.034479101698167966,0.3580757098711428
SP500_3_vw_rsi_4_252,0.1646487251184469,-0.034479101698167966,0.19912782681661484
SP500_3_vw_rsi_4_63,0.1203456444021508,-0.034479101698167966,0.15482474610031877
SP500_4_vw_mu_0.5_21,0.05469670120084322,-0.034479101698166446,0.08917580289900967
SP500_4_vw_mu_0.5_63,0.25744810084321734,-0.034479101698166446,0.29192720254138377
SP500_4_vw_mu_1_21,0.2607221284194139,-0.03447910169816555,0.2952012301175794
SP500_4_vw_mu_1_252,0.11814369141943333,-0.03447910169816555,0.15262279311759888
SP500_4_vw_mu_1_63,0.09739109908516502,-0.03447910169816555,0.13187020078333056
SP500_4_vw_mu_2_21,0.1759290646069689,-0.03447910169816347,0.21040816630513237
SP500_4_vw_mu_2_252,0.22684976106954685,-0.03447910169816347,0.26132886276771033
SP500_4_vw_mu_2_63,0.08862565597388884,-0.03447910169816347,0.12310475767205231
SP500_4_vw_mu_3_21,0.34295385843531506,-0.03447910169816556,0.3774329601334806
SP500_4_vw_mu_3_252,0.17096192347335654,-0.03447910169816556,0.2054410251715221
SP500_4_vw_mu_3_63,0.24745696481431184,-0.03447910169816556,0.2819360665124774
SP500_4_vw_mu_4_21,0.04709286256621274,-0.034479101698167966,0.08157196426438071
SP500_4_vw_mu_4_252,0.17914508786557587,-0.034479101698167966,0.21362418956374385
SP500_4_vw_mu_4_63,0.09935313132139414,-0.034479101698167966,0.1338322330195621
SP500_4_vw_rsi_0.5_21,1.4042745864521131,-0.034479101698166446,1.4387536881502796
