Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
1995,1.959867493519457,1.856301832779059,4.503890929642108,5.440662009985916
1996,2.03308245446813,2.3160578686904794,1.9217083082525097,2.727762875040921
1997,3.08430714023636,2.502379729913997,4.953795016473938,3.8424752928512054
1998,2.036315106837383,1.3082206176976803,2.400856347864226,1.1975810552677408
1999,1.6810820595377685,1.5520864723304013,4.087648815382001,2.048643802387699
2000,0.3622026330523637,1.8354055730203953,0.5781843908592751,4.298642712013217
2001,0.5670966482212979,0.6729731978519151,0.9577520739648788,0.665218550499635
2002,1.5097697271216115,-0.32627469578458,1.616160063048435,-0.28508710239683627
2003,1.7598778495255794,2.3208458397517324,2.118578067985672,3.046812407154028
2004,1.612781422497056,1.880776540623291,1.9436675274987638,3.109196984718063
2005,1.7299869003950559,1.4821461917146406,2.616351804648069,2.33782824750554
2006,1.6805070041927488,1.499870062779591,2.3911749019410258,2.0705955165319656
2007,0.8654468686825699,0.5255183958938902,1.1085342005787089,0.9334070347967616
2008,-0.39125232269215277,-0.6342616384901646,-0.4020519135481733,-0.6000502275545943
2009,0.8610355912540307,1.22848973806464,1.5281248797583615,1.336241313758436
2010,0.5996998595823559,1.1255635523936696,0.6478281295689152,1.4770390313493411
2011,0.2432055036893075,0.25247295286884663,0.30774673751733356,0.3172346957709673
2012,1.742178740618193,1.4024302935787596,3.0549720962062623,2.1969236425173366
2013,2.693267512031891,3.0768295085772057,4.906528792593209,5.97468128767592
2014,1.3037136813892631,1.8680540340675984,1.7834395202854094,3.0547527800710665
2015,0.6721501119608477,0.16471818330747745,0.6834439649179872,0.22247030747580568
2016,0.7617419106530895,1.5686625746438538,1.1313479155126447,2.468068567522581
2017,3.6100847038312645,3.5127347872609964,10.153939466923404,9.255665460243323
2018,0.19075792219600776,-0.242254337403555,0.219904816766049,-0.20531343246173686
2019,2.8424526056631243,2.9394812416113814,4.348773624989728,6.387192423504617
2020,0.7017063137998087,0.4292493874941928,1.0762936082935752,0.42679766471194697
2021,2.307016754672473,2.70304252680675,3.5293948761694334,7.077433596024974
2022,-0.0982760538396603,-0.14534074973063008,-0.1784317811743633,-0.31031203207117936
