Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
1998,0.5738111047268204,1.286567979790833,0.46239961303432153,1.180049318436577
1999,0.6230666319031095,1.5520864723304115,0.9430118010519526,2.0486438023877143
2000,1.801803791025678,1.8354055730203913,3.1152168685255264,4.2986427120132005
2001,0.7556059298165154,0.6729731978519033,1.2254769976120545,0.6652185504996209
2002,0.46784447391492695,-0.32627469578458523,0.3723914035248034,-0.28508710239683976
2003,2.8239059596869156,2.3208458397517386,3.754749200247685,3.0468124071540337
2004,2.779259774773075,1.8807765406232886,3.6601446240277093,3.1091969847180576
2005,1.8400757173395266,1.4821461917146195,4.0571011051607195,2.3378282475054966
2006,1.3400236747302845,1.4998700627796049,2.524202064893322,2.070595516531992
2007,1.3354678227074384,0.5255183958938981,2.2458948255730364,0.9334070347967752
2008,-0.7807110226830326,-0.6342616384901657,-0.6195585686929431,-0.6000502275545946
2009,0.09576183729811973,1.228489738064636,0.11268890011715385,1.3362413137584328
2010,2.14374538873299,1.125563552393664,3.474129032186168,1.4770390313493333
2011,1.1186489344233992,0.25247295286884797,1.374777922386212,0.3172346957709684
2012,0.976016078955797,1.4024302935787545,1.1165874898265864,2.196923642517323
2013,1.9576905683057333,3.07682950857721,2.9534126687326174,5.974681287675952
2014,0.9807196313559698,1.8680540340675778,1.2489405721402196,3.054752780071016
2015,-0.0059092806029774105,0.1647181833074772,-0.007510954367644874,0.2224703074758056
2016,0.2688063000225652,1.5686625746438456,0.4414002506175653,2.4680685675225615
2017,0.6617398246410107,3.512734787261006,0.932219474007784,9.255665460243426
2018,-0.5559557576886495,-0.24225433740356284,-0.5393203211583689,-0.205313432461743
2019,3.8192754236278144,2.9394812416113925,9.36905104034666,6.387192423504608
2020,1.2168962078411976,0.4292493874941972,1.3930401136899284,0.4267976647119513
2021,1.912235396994226,2.703042526806734,2.555482743103137,7.077433596024934
2022,-0.32394209731867374,-0.14534074973063527,-0.5206408653863857,-0.3103120320711885
