Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
1995,2.171844100266336,1.856301832779059,6.399196260812565,5.440662009985916
1996,2.5890590100694193,2.3160578686904794,2.654648096726141,2.727762875040921
1997,2.843701747790664,2.502379729913997,3.9358059502971767,3.8424752928512054
1998,1.4732140732808001,1.3082206176976803,1.6614009863837458,1.1975810552677408
1999,1.2485862887327506,1.5520864723304013,2.252229110726669,2.048643802387699
2000,1.4830098302092494,1.8354055730203953,3.0099574167546392,4.298642712013217
2001,0.8679263338072691,0.6729731978519151,1.3169250523898302,0.665218550499635
2002,2.013322122032534,-0.32627469578458,2.356272929905469,-0.28508710239683627
2003,2.1759586011675522,2.3208458397517324,3.294639377602111,3.046812407154028
2004,2.5936321720503965,1.880776540623291,3.7425434606740886,3.109196984718063
2005,2.0226448084160347,1.4821461917146406,3.205772322066531,2.33782824750554
2006,0.7860816878474004,1.499870062779591,0.8050961550633124,2.0705955165319656
2007,0.1419187571298376,0.5255183958938902,0.15308914020428208,0.9334070347967616
2008,-1.2078813775850514,-0.6342616384901646,-0.8917361696523135,-0.6000502275545943
2009,1.382545240707126,1.22848973806464,1.9086764563452225,1.336241313758436
2010,0.7220593396211411,1.1255635523936696,1.1196025378399155,1.4770390313493411
2011,1.173193982438923,0.25247295286884663,1.7026678570164775,0.3172346957709673
2012,2.5571277812375612,1.4024302935787596,4.408877993277098,2.1969236425173366
2013,1.992385915732931,3.0768295085772057,2.4172483626367702,5.97468128767592
2014,0.8602742020339982,1.8680540340675984,1.188286486246216,3.0547527800710665
2015,0.2136574571566277,0.16471818330747745,0.19219653747338758,0.22247030747580568
2016,0.6125720056996554,1.5686625746438538,0.8496345216666342,2.468068567522581
2017,3.423321486742958,3.5127347872609964,8.996196193213791,9.255665460243323
2018,0.1661904741003199,-0.242254337403555,0.1622761069755466,-0.20531343246173686
2019,3.4327585041357365,2.9394812416113814,7.679759516539892,6.387192423504617
2020,0.6337384137817899,0.4292493874941928,0.8081469606746923,0.42679766471194697
2021,2.510944044570024,2.70304252680675,6.259978851000374,7.077433596024974
2022,-0.2967150271813893,-0.14534074973063008,-0.4355222924748835,-0.31031203207117936
