Configs,Strategy Sharpe,E.W. Sharpe,Outperformance
SP500_2_vw_mu_0.5_21,0.5494013683142208,-0.026131507938830168,0.5755328762530509
SP500_2_vw_mu_0.5_63,0.31871187042944216,-0.026131507938830168,0.34484337836827234
SP500_2_vw_mu_1_21,0.43161766384128614,-0.026131507938829502,0.45774917178011565
SP500_2_vw_mu_1_252,0.1368599055606288,-0.026131507938829502,0.1629914134994583
SP500_2_vw_mu_1_63,0.011347314876876445,-0.026131507938829502,0.03747882281570595
SP500_2_vw_mu_2_21,-0.002657891134404679,-0.026131507938827903,0.023473616804423225
SP500_2_vw_mu_2_252,0.010743304783396154,-0.026131507938827903,0.03687481272222406
SP500_2_vw_mu_3_21,0.0553247707002908,-0.0261315079388295,0.0814562786391203
SP500_2_vw_mu_3_252,0.14543113284315734,-0.0261315079388295,0.17156264078198685
SP500_2_vw_mu_3_63,0.1507550406678438,-0.0261315079388295,0.1768865486066733
SP500_2_vw_mu_4_21,0.1265882749917975,-0.026131507938831327,0.15271978293062882
SP500_2_vw_mu_4_252,0.01564889261039919,-0.026131507938831327,0.04178040054923052
SP500_2_vw_mu_4_63,0.06134796963218574,-0.026131507938831327,0.08747947757101707
SP500_2_vw_rsi_0.5_21,0.512329836778689,-0.026131507938830168,0.5384613447175192
SP500_2_vw_rsi_0.5_63,0.5110353466252662,-0.026131507938830168,0.5371668545640963
SP500_2_vw_rsi_1_21,0.12760032707255228,-0.026131507938829502,0.1537318350113818
SP500_2_vw_rsi_1_252,0.015732674489483216,-0.026131507938829502,0.04186418242831272
SP500_2_vw_rsi_2_252,0.03663284666290092,-0.026131507938827903,0.06276435460172883
SP500_2_vw_rsi_3_252,0.062449737633123385,-0.0261315079388295,0.08858124557195288
SP500_2_vw_rsi_3_63,0.04998655348242476,-0.0261315079388295,0.07611806142125427
SP500_2_vw_rsi_4_252,0.03753745641340655,-0.026131507938831327,0.06366896435223787
SP500_2_vw_rsi_4_63,0.0513286125009335,-0.026131507938831327,0.07746012043976483
SP500_3_vw_mu_0.5_21,0.2568801912440483,-0.026131507938830168,0.2830116991828785
SP500_3_vw_mu_0.5_63,0.16365092997644223,-0.026131507938830168,0.1897824379152724
SP500_3_vw_mu_1_21,0.18977278137030804,-0.026131507938829502,0.21590428930913755
SP500_3_vw_mu_1_252,0.04970497617471167,-0.026131507938829502,0.07583648411354117
SP500_3_vw_mu_2_21,-0.01883485111918023,-0.026131507938827903,0.007296656819647671
SP500_3_vw_mu_2_252,0.08702516039241749,-0.026131507938827903,0.1131566683312454
SP500_3_vw_mu_2_63,0.0033679279068200402,-0.026131507938827903,0.02949943584564794
SP500_3_vw_mu_3_21,0.1768602866820716,-0.0261315079388295,0.2029917946209011
SP500_3_vw_mu_3_252,0.21568889995776655,-0.0261315079388295,0.24182040789659603
SP500_3_vw_mu_3_63,0.359807126172176,-0.0261315079388295,0.3859386341110055
SP500_3_vw_mu_4_21,-0.018677712752662716,-0.026131507938831327,0.007453795186168611
SP500_3_vw_mu_4_252,0.01821138645457278,-0.026131507938831327,0.04434289439340411
SP500_3_vw_mu_4_63,0.0415351413645732,-0.026131507938831327,0.06766664930340453
SP500_3_vw_rsi_0.5_21,0.40400176782835695,-0.026131507938830168,0.43013327576718713
SP500_3_vw_rsi_0.5_63,0.18468825199013048,-0.026131507938830168,0.21081975992896065
SP500_3_vw_rsi_1_21,0.01655081405093028,-0.026131507938829502,0.04268232198975978
SP500_3_vw_rsi_1_252,0.05826866599074398,-0.026131507938829502,0.08440017392957348
SP500_3_vw_rsi_1_63,-0.019672514557339038,-0.026131507938829502,0.006458993381490464
SP500_3_vw_rsi_2_252,0.12046471267054022,-0.026131507938827903,0.1465962206093681
SP500_3_vw_rsi_3_252,0.048736973670771594,-0.0261315079388295,0.07486848160960109
SP500_3_vw_rsi_3_63,0.1764078068036516,-0.0261315079388295,0.2025393147424811
SP500_3_vw_rsi_4_21,0.2513613272666555,-0.026131507938831327,0.27749283520548684
SP500_3_vw_rsi_4_252,0.13130868423138428,-0.026131507938831327,0.1574401921702156
SP500_3_vw_rsi_4_63,0.09411140587440124,-0.026131507938831327,0.12024291381323257
SP500_4_vw_mu_0.5_21,0.03656875885530804,-0.026131507938830168,0.0627002667941382
SP500_4_vw_mu_0.5_63,0.17534050081029845,-0.026131507938830168,0.20147200874912863
SP500_4_vw_mu_1_21,0.18389398841440657,-0.026131507938829502,0.21002549635323609
SP500_4_vw_mu_1_252,0.08975502399128112,-0.026131507938829502,0.11588653193011061
SP500_4_vw_mu_1_63,0.07473169085857843,-0.026131507938829502,0.10086319879740793
SP500_4_vw_mu_2_21,0.12629586330307357,-0.026131507938827903,0.15242737124190148
SP500_4_vw_mu_2_252,0.16871707107899625,-0.026131507938827903,0.19484857901782415
SP500_4_vw_mu_2_63,0.06720043712801389,-0.026131507938827903,0.0933319450668418
SP500_4_vw_mu_3_21,0.24343272424763676,-0.0261315079388295,0.26956423218646625
SP500_4_vw_mu_3_252,0.12984022902877998,-0.0261315079388295,0.15597173696760946
SP500_4_vw_mu_3_63,0.19038331247932871,-0.0261315079388295,0.21651482041815823
SP500_4_vw_mu_4_21,0.03712906384062694,-0.026131507938831327,0.06326057177945826
SP500_4_vw_mu_4_252,0.1396817726575693,-0.026131507938831327,0.1658132805964006
SP500_4_vw_mu_4_63,0.0780472363911374,-0.026131507938831327,0.10417874432996874
SP500_4_vw_rsi_0.5_21,0.7015000786889254,-0.026131507938830168,0.7276315866277555
