Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
2016,1.4344028805146876,0.7655889314960453,1.8641842460726294,1.0882721881742947
2017,2.8204044445015644,2.9974742350322447,4.6519052738295334,6.031396657606433
2018,-0.516188833894228,-0.9231703054252643,-0.39975045398154607,-0.6432880065602589
2019,4.145360550627135,2.983336820309221,8.91800943168474,5.196323263044646
2020,0.7233323158911817,0.09222799866617526,0.6150907031400579,0.0734435778489906
2021,0.14367008632141032,1.2894355696397641,0.18136398080359883,2.178568218877756
2022,-0.5654078787011266,-0.43214887574976113,-0.6827690030077657,-0.5675900302638062
2009,1.3114220531937308,2.2783019622356218,2.050701933689322,5.263756019306836
2010,1.6841080885896622,1.7020529043335524,2.6924559905735963,2.016359723085949
2011,0.10900013310717646,-0.32496261725007425,0.09153430319808917,-0.29704059091998475
2012,2.94146111527683,2.1357040924576194,5.733786032739451,2.507102491205044
2013,3.336112516588057,2.7517237624870083,3.7978238362797354,3.084778272334818
2014,1.1501174965190861,0.37144302918544697,1.5110928747228993,0.3549457370741578
2015,1.387516577590719,0.6786507546253646,1.5516307095164628,0.8176935299881667
