Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
2016,2.274693999503467,0.7655889314960624,2.769271637260422,1.0882721881743196
2017,5.020115566171125,2.9974742350322305,12.130407539466974,6.031396657606479
2018,-0.63622107581179,-0.9231703054252528,-0.5136858682116558,-0.6432880065602531
2019,3.667647783824706,2.983336820309215,11.314587047541664,5.196323263044668
2020,1.1011649437319138,0.09222799866617035,0.9997658285281832,0.07344357784898667
2021,0.5789781522274028,1.2894355696397655,0.9814006726229919,2.17856821887776
2022,-0.29575280776808327,-0.4321488757497605,-0.5022057884993125,-0.5675900302638055
2006,1.294520038727597,1.2483562660348404,6.188489496514018,2.7835004655685744
2007,1.1775209422563584,0.4960838731422817,9.154205422504978,0.6396255528266156
2008,-1.0478227847664514,-0.8830023823526455,-0.7874718214301417,-0.6224704446231327
2009,-0.8237423234823641,2.4982555789857104,-0.7691305550899991,2.663581800346487
2010,2.9379297462233542,1.7020529043335648,2.965772344869133,2.0163597230859667
2011,0.12086756563184142,-0.3249626172500753,0.10154972156718031,-0.29704059091998525
2012,2.6471277288448976,2.135704092457619,4.543584541020566,2.5071024912050413
2013,2.4902300027809776,2.75172376248701,2.614202488927615,3.0847782723348245
2014,-0.06522300364698495,0.37144302918544014,-0.0472245283582339,0.35494573707414917
2015,2.694064032518168,0.6786507546253551,4.740768372111234,0.8176935299881515
