Outperform Configs,Strategy Returns,E.W. Returns,Return Outperformance,Sharpe Outperform Ratio,Calmar Outperform Ratio
ew_FTSE350_2_vw_mu_0.5_21.csv,0.2002432766808011,0.108594683387605,0.8439510152267443,0.7058823529411765,0.7058823529411765
ew_FTSE350_2_vw_mu_0.5_63.csv,0.1761434930019867,0.108594683387605,0.6220268571830628,0.6470588235294118,0.6470588235294118
ew_FTSE350_2_vw_mu_1_21.csv,0.1760148260248697,0.0872228954382057,1.017988799163058,0.6875,0.75
ew_FTSE350_2_vw_mu_1_252.csv,0.1449381382777155,0.0872228954382057,0.6616983138377812,0.75,0.75
ew_FTSE350_2_vw_mu_1_63.csv,0.1676666526580752,0.0872228954382057,0.9222779961123971,0.625,0.6875
ew_FTSE350_2_vw_mu_2_21.csv,0.1113553922779984,0.1067104219040158,0.043528741533424585,0.6,0.6666666666666666
ew_FTSE350_2_vw_mu_2_252.csv,0.1100078893383931,0.1067104219040158,0.030901081408368076,0.4666666666666667,0.4666666666666667
ew_FTSE350_2_vw_mu_2_63.csv,0.1283938473184698,0.1067104219040158,0.20319876004199358,0.6666666666666666,0.7333333333333333
ew_FTSE350_2_vw_mu_3_21.csv,0.1542146822377887,0.1358481006566072,0.1351993991259987,0.7142857142857143,0.7142857142857143
ew_FTSE350_2_vw_mu_3_63.csv,0.1633966737734171,0.1358481006566072,0.20278953466155814,0.7142857142857143,0.7142857142857143
ew_FTSE350_2_vw_mu_4_21.csv,0.1718139789785786,0.1107085972532979,0.5519479357639538,0.6923076923076923,0.6923076923076923
