Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
2016,0.34711164294919056,0.7655889314960568,0.3383695380733226,1.0882721881743092
2017,3.257030380298855,2.99747423503223,4.486790465137391,6.031396657606428
2018,-0.8281730475608312,-0.9231703054252607,-0.8196553997960108,-0.6432880065602531
2019,3.4641817945259983,2.9833368203092134,7.18061596884617,5.196323263044668
2020,0.4006940390356692,0.09222799866616542,0.36048863365271866,0.07344357784898273
2021,0.28998665761393705,1.2894355696397617,0.28917475372094176,2.1785682188777526
2022,-0.6369713369026908,-0.43214887574976313,-0.743784248308683,-0.5675900302638079
2010,1.049830322469312,1.0477129888811125,1.8036305688544971,1.718731354834278
2011,1.6134396704193545,-0.32496261725007414,2.398426924466387,-0.29704059091998514
2012,1.298002482431128,2.135704092457623,3.0654597782076536,2.5071024912050546
2013,1.9758276676274622,2.7517237624870257,2.9729501745477385,3.084778272334838
2014,-1.2659024490353494,0.37144302918544087,-0.7560597468140956,0.35494573707415167
2015,-0.03230429162906971,0.6786507546253687,-0.03893127892078697,0.8176935299881677
