Configs,Strategy Sharpe,E.W. Sharpe,Outperformance
FTSE350_2_vw_mu_0.5_21,0.4410636553457647,-0.34345369953857907,0.7845173548843438
FTSE350_2_vw_mu_0.5_63,0.10241625093227187,-0.34345369953857907,0.44586995047085093
FTSE350_2_vw_mu_1_21,-0.11504134307484408,-0.34345369953857907,0.22841235646373498
FTSE350_2_vw_mu_1_252,0.2610097792893753,-0.34345369953857907,0.6044634788279544
FTSE350_2_vw_mu_1_63,0.2797438764869119,-0.34345369953857907,0.623197576025491
FTSE350_2_vw_mu_2_21,0.05377369721058597,-0.34345369953857907,0.397227396749165
FTSE350_2_vw_mu_2_252,0.21876831238048916,-0.34345369953857907,0.5622220119190682
FTSE350_2_vw_mu_2_63,0.2681548908789654,-0.34345369953857907,0.6116085904175445
FTSE350_2_vw_mu_3_21,0.07522388737068797,-0.34345369953857746,0.41867758690926543
FTSE350_2_vw_mu_3_252,0.00146273126455311,-0.34345369953857746,0.34491643080313056
FTSE350_2_vw_mu_3_63,0.09635353254726635,-0.34345369953857746,0.4398072320858438
FTSE350_2_vw_mu_4_21,0.3235538387313553,-0.34345369953858285,0.6670075382699381
FTSE350_2_vw_mu_4_252,-0.019514339917490676,-0.34345369953858285,0.32393935962109216
FTSE350_2_vw_mu_4_63,0.42882962624576815,-0.34345369953858285,0.772283325784351
FTSE350_2_vw_rsi_0.5_21,-0.1558516565678064,-0.34345369953857907,0.18760204297077268
FTSE350_2_vw_rsi_0.5_63,-0.08316810787928863,-0.34345369953857907,0.26028559165929044
FTSE350_2_vw_rsi_1_63,-0.3010358560854158,-0.34345369953857907,0.042417843453163295
FTSE350_2_vw_rsi_2_21,0.15323504835849788,-0.34345369953857907,0.49668874789707695
FTSE350_2_vw_rsi_2_252,-0.32386020363739076,-0.34345369953857907,0.019593495901188307
FTSE350_2_vw_rsi_2_63,-0.2222017667146959,-0.34345369953857907,0.12125193282388316
FTSE350_2_vw_rsi_3_21,0.1096030607775495,-0.34345369953857746,0.45305676031612696
FTSE350_2_vw_rsi_3_252,-0.0035528099957638404,-0.34345369953857746,0.3399008895428136
FTSE350_2_vw_rsi_3_63,0.5601231275375211,-0.34345369953857746,0.9035768270760987
FTSE350_2_vw_rsi_4_21,-0.01832937594870925,-0.34345369953858285,0.3251243235898736
FTSE350_2_vw_rsi_4_252,-0.20209791650436532,-0.34345369953858285,0.14135578303421753
FTSE350_2_vw_rsi_4_63,0.26023252773990013,-0.34345369953858285,0.603686227278483
FTSE350_3_vw_mu_0.5_21,0.146305474982321,-0.34345369953857907,0.48975917452090006
FTSE350_3_vw_mu_0.5_63,0.3118884696495768,-0.34345369953857907,0.6553421691881558
FTSE350_3_vw_mu_1_21,-0.22925341893820356,-0.34345369953857907,0.11420028060037551
FTSE350_3_vw_mu_1_252,-0.06583648863828079,-0.34345369953857907,0.2776172109002983
FTSE350_3_vw_mu_1_63,0.15343767294055222,-0.34345369953857907,0.4968913724791313
FTSE350_3_vw_mu_2_21,0.275207375792766,-0.34345369953857907,0.6186610753313451
FTSE350_3_vw_mu_2_252,0.2268245338859125,-0.34345369953857907,0.5702782334244916
FTSE350_3_vw_mu_2_63,0.29658447512483416,-0.34345369953857907,0.6400381746634132
FTSE350_3_vw_mu_3_21,0.38386399202198773,-0.34345369953857746,0.7273176915605652
FTSE350_3_vw_mu_3_252,0.004341124804373161,-0.34345369953857746,0.3477948243429506
FTSE350_3_vw_mu_3_63,0.19206886888262387,-0.34345369953857746,0.5355225684212013
FTSE350_3_vw_mu_4_21,0.18672407999463733,-0.34345369953858285,0.5301777795332202
FTSE350_3_vw_mu_4_252,-0.10439923156376046,-0.34345369953858285,0.23905446797482238
FTSE350_3_vw_mu_4_63,0.1587353647423237,-0.34345369953858285,0.5021890642809066
FTSE350_3_vw_rsi_0.5_63,0.024876426184564426,-0.34345369953857907,0.3683301257231435
FTSE350_3_vw_rsi_1_21,-0.1631067108461818,-0.34345369953857907,0.18034698869239726
FTSE350_3_vw_rsi_1_252,-0.12790810889365983,-0.34345369953857907,0.21554559064491924
FTSE350_3_vw_rsi_1_63,0.23333121692857128,-0.34345369953857907,0.5767849164671504
FTSE350_3_vw_rsi_2_21,-0.0242950339895452,-0.34345369953857907,0.3191586655490339
FTSE350_3_vw_rsi_2_252,-0.007870526062719558,-0.34345369953857907,0.33558317347585953
FTSE350_3_vw_rsi_2_63,0.05367812758108699,-0.34345369953857907,0.39713182711966605
FTSE350_3_vw_rsi_3_21,0.46352088417948956,-0.34345369953857746,0.8069745837180671
FTSE350_3_vw_rsi_3_252,0.3366743256184281,-0.34345369953857746,0.6801280251570055
FTSE350_3_vw_rsi_3_63,0.8546055536817754,-0.34345369953857746,1.198059253220353
FTSE350_3_vw_rsi_4_21,0.3924221046485299,-0.34345369953858285,0.7358758041871127
FTSE350_3_vw_rsi_4_252,0.0865435200038158,-0.34345369953858285,0.42999721954239867
FTSE350_3_vw_rsi_4_63,0.6613739739971857,-0.34345369953858285,1.0048276735357686
FTSE350_4_vw_mu_0.5_21,-0.2132862811673263,-0.34345369953857907,0.13016741837125276
FTSE350_4_vw_mu_0.5_63,0.0855663508075838,-0.34345369953857907,0.42902005034616286
FTSE350_4_vw_mu_1_21,-0.05265235820210047,-0.34345369953857907,0.2908013413364786
FTSE350_4_vw_mu_1_252,-0.10343428148356903,-0.34345369953857907,0.24001941805501004
FTSE350_4_vw_mu_1_63,0.168605358348924,-0.34345369953857907,0.512059057887503
FTSE350_4_vw_mu_2_21,0.23351023397007048,-0.34345369953857907,0.5769639335086496
