Years,Strategy Sharpe,E.W. Sharpe,Strategy Calmar,E.W. Calmar
2016,1.3123720087890312,0.7655889314960624,1.4655613816925086,1.0882721881743196
2017,3.4575681364102846,2.9974742350322305,5.6274355071419,6.031396657606479
2018,-0.5255799370256082,-0.9231703054252528,-0.524179709667868,-0.6432880065602531
2019,3.185802496098491,2.983336820309215,9.97149081991298,5.196323263044668
2020,-0.3941686933791275,0.09222799866617035,-0.2876505747453572,0.07344357784898667
2021,0.8743121629651299,1.2894355696397655,1.3131691087098072,2.17856821887776
2022,-0.5018758360539992,-0.4321488757497605,-0.6989367463659135,-0.5675900302638055
2006,0.26470299489543314,1.2483562660348404,0.6803697157491296,2.7835004655685744
2007,0.9783020560709539,0.4960838731422817,2.6912404331843103,0.6396255528266156
2008,-0.9777517075446318,-0.8830023823526455,-0.8438538093419125,-0.6224704446231327
2009,-1.1682086241506127,2.4982555789857104,-0.969905624888897,2.663581800346487
2010,2.167890010401097,1.7020529043335648,2.408872997940354,2.0163597230859667
2011,0.2515184803546019,-0.3249626172500753,0.22141611727003566,-0.29704059091998525
2012,2.2074487581513607,2.135704092457619,4.556230944515141,2.5071024912050413
2013,3.5435753597722663,2.75172376248701,2.9535031753472105,3.0847782723348245
2014,0.8283615985536533,0.37144302918544014,2.8078802484185656,0.35494573707414917
2015,2.084514495998177,0.6786507546253551,3.0662457778571337,0.8176935299881515
