Configs,Strategy Calmar,E.W. Calmar,Outperformance
FTSE350_2_vw_mu_0.5_21,0.5082694630583978,-0.3481852428771533,0.8564547059355512
FTSE350_2_vw_mu_0.5_63,0.12156690772305724,-0.3481852428771533,0.4697521506002105
FTSE350_2_vw_mu_1_21,-0.12493179268055,-0.3481852428771533,0.2232534501966033
FTSE350_2_vw_mu_1_252,0.39483876966753967,-0.3481852428771533,0.743024012544693
FTSE350_2_vw_mu_1_63,0.42619031643171995,-0.3481852428771533,0.7743755593088733
FTSE350_2_vw_mu_2_21,0.05737844426705142,-0.3481852428771533,0.4055636871442047
FTSE350_2_vw_mu_2_252,0.23895387325824066,-0.3481852428771533,0.5871391161353939
FTSE350_2_vw_mu_2_63,0.2903490312981349,-0.3481852428771533,0.6385342741752882
FTSE350_2_vw_mu_3_21,0.0754038294361407,-0.34818524287715175,0.42358907231329246
FTSE350_2_vw_mu_3_252,0.0015360959309491838,-0.34818524287715175,0.3497213388081009
FTSE350_2_vw_mu_3_63,0.10084861135257635,-0.34818524287715175,0.4490338542297281
FTSE350_2_vw_mu_4_21,0.3414795715672132,-0.34818524287715713,0.6896648144443703
FTSE350_2_vw_mu_4_252,-0.0209291886113492,-0.34818524287715713,0.32725605426580795
FTSE350_2_vw_mu_4_63,0.48214140106703685,-0.34818524287715713,0.830326643944194
FTSE350_2_vw_rsi_0.5_21,-0.18354595905758694,-0.3481852428771533,0.16463928381956636
FTSE350_2_vw_rsi_0.5_63,-0.09181908180848493,-0.3481852428771533,0.2563661610686684
FTSE350_2_vw_rsi_1_63,-0.30405925935911393,-0.3481852428771533,0.04412598351803937
FTSE350_2_vw_rsi_2_21,0.1947982853405374,-0.3481852428771533,0.5429835282176907
FTSE350_2_vw_rsi_2_252,-0.31791237772533804,-0.3481852428771533,0.030272865151815265
FTSE350_2_vw_rsi_2_63,-0.24278002386033448,-0.3481852428771533,0.10540521901681882
FTSE350_2_vw_rsi_3_21,0.12459320985397457,-0.34818524287715175,0.4727784527311263
FTSE350_2_vw_rsi_3_252,-0.003741245677997928,-0.34818524287715175,0.3444439971991538
FTSE350_2_vw_rsi_3_63,0.687768249798941,-0.34818524287715175,1.0359534926760927
FTSE350_2_vw_rsi_4_21,-0.017487319122834803,-0.34818524287715713,0.33069792375432233
FTSE350_2_vw_rsi_4_252,-0.2117483567707292,-0.34818524287715713,0.13643688610642793
FTSE350_2_vw_rsi_4_63,0.2791364739700568,-0.34818524287715713,0.6273217168472139
FTSE350_3_vw_mu_0.5_21,0.17629736142250577,-0.3481852428771533,0.5244826042996591
FTSE350_3_vw_mu_0.5_63,0.3383019833326905,-0.3481852428771533,0.6864872262098438
FTSE350_3_vw_mu_1_21,-0.22235168018039414,-0.3481852428771533,0.12583356269675916
FTSE350_3_vw_mu_1_252,-0.07049347602906014,-0.3481852428771533,0.27769176684809316
FTSE350_3_vw_mu_1_63,0.16586418481231388,-0.3481852428771533,0.5140494276894672
FTSE350_3_vw_mu_2_21,0.29356371769845574,-0.3481852428771533,0.641748960575609
FTSE350_3_vw_mu_2_252,0.24363937765755384,-0.3481852428771533,0.5918246205347071
FTSE350_3_vw_mu_2_63,0.31956541309026304,-0.3481852428771533,0.6677506559674163
FTSE350_3_vw_mu_3_21,0.42513997327889025,-0.34818524287715175,0.773325216156042
FTSE350_3_vw_mu_3_252,0.004576439068340371,-0.34818524287715175,0.3527616819454921
FTSE350_3_vw_mu_3_63,0.2029121126441623,-0.34818524287715175,0.5510973555213141
FTSE350_3_vw_mu_4_21,0.20008697541125084,-0.34818524287715713,0.548272218288408
FTSE350_3_vw_mu_4_252,-0.11229187035521175,-0.34818524287715713,0.23589337252194537
FTSE350_3_vw_mu_4_63,0.17172563575047697,-0.34818524287715713,0.5199108786276341
FTSE350_3_vw_rsi_0.5_63,0.026618505555072995,-0.3481852428771533,0.3748037484322263
FTSE350_3_vw_rsi_1_21,-0.18205770386938758,-0.3481852428771533,0.16612753900776572
FTSE350_3_vw_rsi_1_252,-0.1426516580451609,-0.3481852428771533,0.2055335848319924
FTSE350_3_vw_rsi_1_63,0.28073880056064027,-0.3481852428771533,0.6289240434377936
FTSE350_3_vw_rsi_2_21,-0.02799534646832792,-0.3481852428771533,0.3201898964088254
FTSE350_3_vw_rsi_2_252,-0.008811433690428895,-0.3481852428771533,0.3393738091867244
FTSE350_3_vw_rsi_2_63,0.07150279288360252,-0.3481852428771533,0.4196880357607558
FTSE350_3_vw_rsi_3_21,0.500643624153436,-0.34818524287715175,0.8488288670305877
FTSE350_3_vw_rsi_3_252,0.3843852938609154,-0.34818524287715175,0.7325705367380672
FTSE350_3_vw_rsi_3_63,1.1222100498225993,-0.34818524287715175,1.470395292699751
FTSE350_3_vw_rsi_4_21,0.40675455834092067,-0.34818524287715713,0.7549398012180778
FTSE350_3_vw_rsi_4_252,0.10037383126683337,-0.34818524287715713,0.4485590741439905
