Average Persistence,Number of States,Feature,Train Length,Frequency
0.0842729033472374,3,vw_mu,3.0,5
0.0746228058991032,3,vw_mu,3.0,21
0.08080808080808079,3,vw_mu,3.0,63
0.055884936319718935,3,vw_mu,3.0,252
0.07791367199724361,3,vw_mu,4.0,1
0.07730692587453068,3,vw_mu,4.0,5
0.0744008955471407,3,vw_mu,4.0,21
0.07165082835758138,3,vw_mu,4.0,63
0.051652892561983466,3,vw_mu,4.0,252
0.010826033051110486,3,vw_ema_mu,0.5,1
0.010721426531195143,3,vw_ema_mu,0.5,5
0.010424710424710411,3,vw_ema_mu,0.5,21
0.011579495186052563,3,vw_ema_mu,0.5,63
0.004232804232804232,3,vw_ema_mu,0.5,252
0.009888246749497656,3,vw_ema_mu,1.0,1
0.009957534814628148,3,vw_ema_mu,1.0,5
0.010223684501070944,3,vw_ema_mu,1.0,21
0.010718831647350435,3,vw_ema_mu,1.0,63
0.009881422924901184,3,vw_ema_mu,1.0,252
0.0082596540826713,3,vw_ema_mu,2.0,1
0.008358388793171476,3,vw_ema_mu,2.0,5
0.008189155286265402,3,vw_ema_mu,2.0,21
0.008480057491915195,3,vw_ema_mu,2.0,63
0.008665247795682578,3,vw_ema_mu,2.0,252
0.007426884342983182,3,vw_ema_mu,3.0,1
0.007449773228174333,3,vw_ema_mu,3.0,5
0.0077181350673636755,3,vw_ema_mu,3.0,21
0.008525149190110827,3,vw_ema_mu,3.0,63
0.007465963987703117,3,vw_ema_mu,3.0,252
0.0069268577469569275,3,vw_ema_mu,4.0,1
0.006895621921303822,3,vw_ema_mu,4.0,5
0.007020647336852858,3,vw_ema_mu,4.0,21
0.007064166176099573,3,vw_ema_mu,4.0,63
0.007366151634926336,3,vw_ema_mu,4.0,252
0.049866229465405754,3,vw_macd,0.5,1
0.05132207124495097,3,vw_macd,0.5,5
0.05010725010725,3,vw_macd,0.5,21
0.04892011449388495,3,vw_macd,0.5,63
0.05026455026455026,3,vw_macd,0.5,252
0.05229359242870433,3,vw_macd,1.0,1
0.051866316027064374,3,vw_macd,1.0,5
0.05156005034557378,3,vw_macd,1.0,21
0.04997655255577141,3,vw_macd,1.0,63
0.049689440993788817,3,vw_macd,1.0,252
0.05781589040849227,3,vw_macd,2.0,1
0.058325732238775706,3,vw_macd,2.0,5
0.059051856760786704,3,vw_macd,2.0,21
0.06133668702838662,3,vw_macd,2.0,63
0.06810580723624202,3,vw_macd,2.0,252
0.05901524955115643,3,vw_macd,3.0,1
0.058819005523072815,3,vw_macd,3.0,5
0.058523524161672856,3,vw_macd,3.0,21
0.06008938489756904,3,vw_macd,3.0,63
0.06269213877909531,3,vw_macd,3.0,252
0.059215232249598314,3,vw_macd,4.0,1
0.05914220699361415,3,vw_macd,4.0,5
0.05901904419690985,3,vw_macd,4.0,21
0.058615759818349995,3,vw_macd,4.0,63
0.06081566654689185,3,vw_macd,4.0,252
0.2145467299629664,3,vw_rsi,0.5,1
0.21569347533357836,3,vw_rsi,0.5,5
0.21561561561561568,3,vw_rsi,0.5,21
0.21988030184751495,3,vw_rsi,0.5,63
0.22433862433862437,3,vw_rsi,0.5,252
0.2267409938638071,3,vw_rsi,1.0,1
0.22804171981376203,3,vw_rsi,1.0,5
0.22531852407975803,3,vw_rsi,1.0,21
0.23065585851142226,3,vw_rsi,1.0,63
0.21343873517786566,3,vw_rsi,1.0,252
0.23232598341541644,3,vw_rsi,2.0,1
0.23357600531513548,3,vw_rsi,2.0,5
0.23817187758869623,3,vw_rsi,2.0,21
0.24477182896155228,3,vw_rsi,2.0,63
0.2254484645788994,3,vw_rsi,2.0,252
0.23576790086922558,3,vw_rsi,3.0,1
0.23522744981370527,3,vw_rsi,3.0,5
0.23031153045178304,3,vw_rsi,3.0,21
0.2281381590844507,3,vw_rsi,3.0,63
0.20487483530961792,3,vw_rsi,3.0,252
0.23783888086804042,3,vw_rsi,4.0,1
0.23842180029331897,3,vw_rsi,4.0,5
0.23780369827800651,3,vw_rsi,4.0,21
0.23059456731982175,3,vw_rsi,4.0,63
0.24281351060007186,3,vw_rsi,4.0,252
0.19526623599079462,4,vw_mu,0.5,1
0.19604602766556514,4,vw_mu,0.5,5
0.18974688974688977,4,vw_mu,0.5,21
0.1837106427270361,4,vw_mu,0.5,63
0.1920634920634921,4,vw_mu,0.5,252
0.14910686634227152,4,vw_mu,1.0,1
0.14950999690303388,4,vw_mu,1.0,5
0.1520524653874179,4,vw_mu,1.0,21
0.15140349701882494,4,vw_mu,1.0,63
0.13466967814793904,4,vw_mu,1.0,252
0.13491349815876894,4,vw_mu,2.0,1
0.13313457878675247,4,vw_mu,2.0,5
0.13187853541928013,4,vw_mu,2.0,21
0.13172835070068276,4,vw_mu,2.0,63
0.14350866524779568,4,vw_mu,2.0,252
0.12464560489428148,4,vw_mu,3.0,1
0.12528409723360642,4,vw_mu,3.0,5
0.12045560797313953,4,vw_mu,3.0,21
0.11888708052390914,4,vw_mu,3.0,63
0.09991216512955642,4,vw_mu,3.0,252
0.1098031210306656,4,vw_mu,4.0,1
0.11015238107765057,4,vw_mu,4.0,5
0.1060905497664391,4,vw_mu,4.0,21
0.09994954167017071,4,vw_mu,4.0,63
0.0798598634567014,4,vw_mu,4.0,252
0.011884370054976875,4,vw_ema_mu,0.5,1
0.011772146733586298,4,vw_ema_mu,0.5,5
0.011926211926211917,4,vw_ema_mu,0.5,21
0.013400988810824868,4,vw_ema_mu,0.5,63
0.010052910052910053,4,vw_ema_mu,0.5,252
0.010691358413513555,4,vw_ema_mu,1.0,1
0.010797390149546726,4,vw_ema_mu,1.0,5
0.010797800693355704,4,vw_ema_mu,1.0,21
0.010785824345146374,4,vw_ema_mu,1.0,63
0.01101072840203275,4,vw_ema_mu,1.0,252
0.0091431298225401,4,vw_ema_mu,2.0,1
0.009138204790378811,4,vw_ema_mu,2.0,5
0.009230550756195098,4,vw_ema_mu,2.0,21
0.009558030901904418,4,vw_ema_mu,2.0,63
0.008817269686834904,4,vw_ema_mu,2.0,252
0.008102827439247211,4,vw_ema_mu,3.0,1
0.008107522834030502,4,vw_ema_mu,3.0,5
0.008024140422457388,4,vw_ema_mu,3.0,21
0.008085974837892997,4,vw_ema_mu,3.0,63
0.008344312692138778,4,vw_ema_mu,3.0,252
0.00747023739083121,4,vw_ema_mu,4.0,1
0.007474367490283023,4,vw_ema_mu,4.0,5
0.007400702064733676,4,vw_ema_mu,4.0,21
0.007484652258010263,4,vw_ema_mu,4.0,63
0.0077254761049227435,4,vw_ema_mu,4.0,252
0.0618790681740302,4,vw_macd,0.5,1
0.06127841025013298,4,vw_macd,0.5,5
0.06113256113256099,4,vw_macd,0.5,21
0.06258131667967727,4,vw_macd,0.5,63
0.06031746031746032,4,vw_macd,0.5,252
0.06792539984987574,4,vw_macd,1.0,1
0.06796004388244085,4,vw_macd,1.0,5
0.06957846622651093,4,vw_macd,1.0,21
0.06652374891136868,4,vw_macd,1.0,63
0.06691134952004517,4,vw_macd,1.0,252
0.07677010273078377,4,vw_macd,2.0,1
0.07706665315360979,4,vw_macd,2.0,5
0.07515798442640409,4,vw_macd,2.0,21
0.07466762486525334,4,vw_macd,2.0,63
0.08482821526299786,4,vw_macd,2.0,252
0.0818356059494312,4,vw_macd,3.0,1
0.08163380954404811,4,vw_macd,3.0,5
0.0826044455777976,4,vw_macd,3.0,21
0.08455397969464466,4,vw_macd,3.0,63
0.08509003074220466,4,vw_macd,3.0,252
0.08202304218966519,4,vw_macd,4.0,1
0.08212925756150816,4,vw_macd,4.0,5
0.08088255617899888,4,vw_macd,4.0,21
0.08115381380876291,4,vw_macd,4.0,63
0.08165648580668344,4,vw_macd,4.0,252
0.2834936132726497,4,vw_rsi,0.5,1
0.2834802301383281,4,vw_rsi,0.5,5
0.2823251823251822,4,vw_rsi,0.5,21
0.2818110850897737,4,vw_rsi,0.5,63
0.2820105820105821,4,vw_rsi,0.5,252
0.2939861108923986,4,vw_rsi,1.0,1
