Average Persistence,Number of States,Feature,Train Length,Frequency
0.12964297072243097,3,vw_mu,3.0,5
0.12990777338603424,3,vw_mu,3.0,21
0.132548309178744,3,vw_mu,3.0,63
0.11912604303908653,3,vw_mu,3.0,252
0.12245601598901598,3,vw_mu,4.0,1
0.12228917090881992,3,vw_mu,4.0,5
0.12314456735007254,3,vw_mu,4.0,21
0.12193890702869913,3,vw_mu,4.0,63
0.11672967863894143,3,vw_mu,4.0,252
0.0323090469580655,3,vw_ema_mu,0.5,1
0.03362977135298581,3,vw_ema_mu,0.5,5
0.03323412698412694,3,vw_ema_mu,0.5,21
0.03279424977538183,3,vw_ema_mu,0.5,63
0.04304029304029303,3,vw_ema_mu,0.5,252
0.03451502988842036,3,vw_ema_mu,1.0,1
0.03499776750262964,3,vw_ema_mu,1.0,5
0.035875229727348294,3,vw_ema_mu,1.0,21
0.03701733049559137,3,vw_ema_mu,1.0,63
0.03481301307388264,3,vw_ema_mu,1.0,252
0.03526160226088999,3,vw_ema_mu,2.0,1
0.03570092642236389,3,vw_ema_mu,2.0,5
0.035900321964243705,3,vw_ema_mu,2.0,21
0.039110671936758885,3,vw_ema_mu,2.0,63
0.041264822134387355,3,vw_ema_mu,2.0,252
0.03091452885518391,3,vw_ema_mu,3.0,1
0.03067946546207391,3,vw_ema_mu,3.0,5
0.031116260051792227,3,vw_ema_mu,3.0,21
0.031798967940272316,3,vw_ema_mu,3.0,63
0.038153271848924024,3,vw_ema_mu,3.0,252
0.029378191405090404,3,vw_ema_mu,4.0,1
0.02919549806774511,3,vw_ema_mu,4.0,5
0.029271049563511266,3,vw_ema_mu,4.0,21
0.0322972160164977,3,vw_ema_mu,4.0,63
0.04180271524316893,3,vw_ema_mu,4.0,252
0.05066546745606493,3,vw_macd,0.5,1
0.05067200491307696,3,vw_macd,0.5,5
0.05181051587301576,3,vw_macd,0.5,21
0.056454028152141275,3,vw_macd,0.5,63
0.05525030525030525,3,vw_macd,0.5,252
0.04179945249996844,3,vw_macd,1.0,1
0.041560410779516076,3,vw_macd,1.0,5
0.041791495682384626,3,vw_macd,1.0,21
0.041273943447856495,3,vw_macd,1.0,63
0.03724536333231984,3,vw_macd,1.0,252
0.032703397813875344,3,vw_macd,2.0,1
0.0324294584855551,3,vw_macd,2.0,5
0.03316493469099284,3,vw_macd,2.0,21
0.033537549407114634,3,vw_macd,2.0,63
0.03075098814229249,3,vw_macd,2.0,252
0.029153793724471366,3,vw_macd,3.0,1
0.028940075416837057,3,vw_macd,3.0,5
0.0296715278724274,3,vw_macd,3.0,21
0.029973649538866946,3,vw_macd,3.0,63
0.03173034694773825,3,vw_macd,3.0,252
0.02671369397988126,3,vw_macd,4.0,1
0.026776369936088305,3,vw_macd,4.0,5
0.026402593340347495,3,vw_macd,4.0,21
0.025401701323251417,3,vw_macd,4.0,63
0.02444578106203815,3,vw_macd,4.0,252
0.27901475878870596,3,vw_rsi,0.5,1
