Date,Close,Return,Volume,EMA,MACD,RSI
2006-04-28,476.58538818359375,-0.01297445767498079,14473557,0.002408933222849847,12.729066211530892,53.97801927246751
2006-05-02,488.2784729003906,0.0242389785422276,13700641,0.003817323243454863,12.10232945239187,59.697677977811516
2006-05-03,492.2390441894531,0.008078576384482903,27784758,0.004092242800940543,11.789321103448742,61.44548498161391
2006-05-04,496.3881530761719,0.008393726691921255,6534354,0.004369757890681235,11.740718449474286,63.243839169252645
2006-05-05,509.5899658203125,0.02624822639348176,13865349,0.005781271987636108,12.621978145186745,68.30906143253307
2006-05-08,513.927734375,0.00847624721106269,20846511,0.005955141356889435,13.514616388125262,69.78253996035396
2006-05-09,500.16015625,-0.02715430133655537,29578783,0.003819048279892996,12.961695772044322,60.21330853635608
2006-05-10,495.256591796875,-0.009852364103890779,12570279,0.0029370216744875914,11.989616691708306,57.204467432133924
2006-05-11,488.4670104980469,-0.01380405857232553,10051844,0.0018569519811448094,10.549763443199993,53.2376566789261
2006-05-12,475.453857421875,-0.027002099802370696,31464436,-4.922327469094245e-06,8.263361781532183,46.571762189352086
2006-05-15,452.6335754394531,-0.04918692323447133,18633289,-0.003177954644049884,4.557430728561883,37.66531894530132
2006-05-16,436.0369567871094,-0.037355910890018884,44001730,-0.00538298407927369,0.27804017372790213,32.758609078070464
2006-05-17,428.4930419921875,-0.017452503181927363,34456658,-0.0061616627310577985,-3.6797210158221105,30.7948480455899
2006-05-18,424.3439331054688,-0.00973021044642718,40682092,-0.006391891615920339,-7.069579967078823,29.73892752937574
2006-05-19,430.0019226074219,0.013245390456000164,17364879,-0.005124970191925468,-9.193537761017808,33.10732782072895
2006-05-22,403.9754638671875,-0.062435536742847825,29387247,-0.008822426098436588,-12.829022339410187,26.75359797980888
2006-05-23,416.9885864257813,0.03170470762782249,29726544,-0.006207772309645681,-14.493052932172645,33.613751947946405
2006-05-24,413.9710693359375,-0.007262760190171372,34250863,-0.006275836043873145,-15.87233122219152,32.84554722938851
2006-05-25,430.9447326660156,0.040183760855769524,26361100,-0.003278442695509101,-15.418056668414408,41.012011976462524
2006-05-26,446.0325317382813,0.03441203906897664,20228103,-0.0008467987107035695,-13.682854095805283,47.16284190886172
2006-05-30,426.2298278808594,-0.0454131876190161,13916621,-0.0037220496080140556,-13.747137811352502,41.10463361056239
2006-05-31,441.1292114257813,0.034359126103920855,34692115,-0.0012651995620827712,-12.452285193894568,46.65667630985124
2006-06-01,456.4054870605469,0.034043811435012346,33876144,0.0010128011474072364,-10.077272862413224,51.68567429423598
2006-06-02,460.74322509765625,0.00945925197015814,24456174,0.001557733458552456,-7.755637114133776,53.039505648039096
2006-06-05,460.931884765625,0.00040938432335793927,13717000,0.0014836464175721645,-5.833258624286202,53.101059056877965
2006-06-06,439.4317932128906,-0.04776776338844795,24567900,-0.0016938638924936494,-5.975752767509334,45.742609568230094
2006-06-07,446.2212219238281,0.015332329026066672,20559934,-0.0005953998332316932,-5.477686882637784,48.18446916296642
